ID_Produto,Nome_Produto,Marca,Categoria,Custo_Unitario,Preco_Unitario
PROD-0001,Logitech Leve Unidade Sensor,Logitech,Segurança,257.21,319.04
PROD-0002,Samsung Eficiente Disco Externo,Samsung,Armazenamento,222.79,252.02
PROD-0003,Dyson Eficiente Acessório Iluminação,Dyson,Smart Home,566.52,667.78
PROD-0004,Dyson Novo Módulo Auscultadores,Dyson,Áudio e Vídeo,297.35,361.71
PROD-0005,Dyson Essencial Máquina Rato,Dyson,Periféricos,53.66,67.02
PROD-0006,Philips Sem Fios Rato,Philips,Periféricos,128.61,157.64
PROD-0007,Canon Leve Máquina de Lavar,Canon,Eletrodomésticos,827.62,933.72
PROD-0008,Samsung Moderno Iluminação,Samsung,Smart Home,591.5,727.4
PROD-0009,LG Leve Dispositivo Smartphone,LG,Smartphones,1267.98,1586.1
PROD-0010,Apple Versátil Câmara,Apple,Segurança,1003.49,1365.59
PROD-0011,Microsoft Versátil Aspirador,Microsoft,Eletrodomésticos,85.48,102.51
PROD-0012,TechCorp Avançado Disco Externo,TechCorp,Armazenamento,95.15,112.27
PROD-0013,Dell Avançado Painel Segurança,Dell,Segurança,774.74,983.34
PROD-0014,ElectroZen Multifunções Componente Tablet,ElectroZen,Eletrodomésticos,426.46,492.78
PROD-0015,Philips Versátil Central Impressora,Philips,Impressoras,483.17,635.44
PROD-0016,Bosch Compacto Máquina Frigorífico,Bosch,Eletrodomésticos,701.54,856.62
PROD-0017,Razer Eficiente Monitor,Razer,Periféricos,226.26,263.44
PROD-0018,FuturaSystems Silencioso Teclado,FuturaSystems,Periféricos,235.88,248.12
PROD-0019,Lenovo Moderno Módulo Webcam,Lenovo,Periféricos,80.36,95.52
PROD-0020,Microsoft Avançado Máquina TV,Microsoft,Áudio e Vídeo,116.84,132.85
PROD-0021,InnovateX Ultra Webcam,InnovateX,Periféricos,52.72,63.54
PROD-0022,Dell Ergonómico Kit Tablet,Dell,Wearables,218.41,269.9
PROD-0023,Microsoft Eficiente Componente Colunas,Microsoft,Áudio e Vídeo,392.5,466.31
PROD-0024,Xiaomi Robusto Ferramenta Projetor,Xiaomi,Periféricos,84.14,97.13
PROD-0025,Xiaomi Eficiente Portátil,Xiaomi,Portáteis,1716.98,2183.23
PROD-0026,Canon Elegante Portátil,Canon,Portáteis,1410.4,1928.11
PROD-0027,ElectroZen Digital Drone,ElectroZen,Eletrónica,45.19,48.31
PROD-0028,Xiaomi Versátil Sistema Iluminação,Xiaomi,Smart Home,156.02,186.1
PROD-0029,Canon Pequeno Projetor,Canon,Periféricos,170.56,209.1
PROD-0030,Razer Económico Componente Projetor,Razer,Periféricos,369.71,453.92
PROD-0031,LG Portátil Dispositivo Aspirador,LG,Portáteis,717.12,835.57
PROD-0032,Samsung Básico Portátil,Samsung,Portáteis,743.52,913.66
PROD-0033,Lenovo Ultra Forno,Lenovo,Eletrodomésticos,822.66,1058.27
PROD-0034,ElectroZen Multifunções Aparelho Portátil,ElectroZen,Portáteis,865.91,1031.15
PROD-0035,ElectroZen Ultra Módulo Smartphone,ElectroZen,Smartphones,1396.75,1893.51
PROD-0036,InnovateX Robusto Câmara,InnovateX,Segurança,865.77,1080.09
PROD-0037,Microsoft Multifunções Painel Smartwatch,Microsoft,Wearables,618.71,815.29
