ID_Campanha,Nome_Campanha,Canal,Data_Inicio,Data_Fim,Custo,Impressoes,Cliques,Conversoes
CAMP-001,Ut expedita.,Email Marketing,2024-03-31 00:58:51,2024-05-15 00:58:51,662.04,998081,26832,2050
CAMP-002,Magni ex.,Influencers,2023-01-14 23:42:11,2023-03-15 23:42:11,5654.03,343660,5196,468
CAMP-003,Pariatur voluptas debitis saepe.,Email Marketing,2023-07-20 15:05:44,2023-09-16 15:05:44,3225.79,763807,71715,2600
CAMP-004,Ratione quasi totam.,Marketing de Conteúdo,2023-01-30 10:00:14,2023-03-22 10:00:14,2877.19,54174,883,38
CAMP-005,Ipsum nulla nihil.,Outdoors,2024-02-19 06:00:05,2024-04-05 06:00:05,6411.65,229146,8342,758
CAMP-006,Quibusdam delectus.,Outdoors,2023-07-11 23:25:15,2023-08-03 23:25:15,7885.96,390902,12912,1208
CAMP-007,Vitae tempora explicabo quis quas.,Redes Sociais,2024-10-20 19:10:37,2024-11-19 19:10:37,3680.02,320153,24142,1250
CAMP-008,Molestiae dolores.,Outdoors,2024-06-13 17:29:36,2024-07-03 17:29:36,1029.89,734842,64738,2814
CAMP-009,Nisi molestiae nesciunt quidem.,Redes Sociais,2024-10-03 15:05:12,2024-10-23 15:05:12,9437.28,63003,1120,44
CAMP-010,Delectus aut eligendi iure blanditiis.,SEO,2023-07-21 21:40:29,2023-08-23 21:40:29,2361.55,928850,23407,2250
CAMP-011,Occaecati cumque id asperiores dolorem.,Google Ads,2024-07-26 19:41:16,2024-08-13 19:41:16,9370.92,495146,48971,2558
CAMP-012,Dolorem dolorum fuga aliquid.,Google Ads,2023-08-23 12:30:51,2023-10-01 12:30:51,3303.91,362342,36097,3508
CAMP-013,Corporis incidunt odit.,Influencers,2024-06-02 16:14:09,2024-07-23 16:14:09,5760.17,449253,39347,962
CAMP-014,Quas perspiciatis.,Influencers,2023-03-11 04:41:56,2023-03-18 04:41:56,5536.94,42507,2655,221
